id,date,indicator,z_value,direction,fwd_ret_1d,fwd_ret_3d,fwd_ret_5d
SPX,2026-03-24,lev_net,1.5964031633937843,1,0.005419124381509377,-0.028601194895887083,-0.004247792171348186
SPX,2026-03-24,oi_chg_w,-2.946025221506043,-1,0.005419124381509377,-0.028601194895887083,-0.004247792171348186
KOSPI200,2026-03-23,asset_mgr_net,-3.116258982674575,-1,0.02830305891707874,0.005007081976989847,-0.030489774619188337
KOSPI200,2026-03-23,lev_net,-1.728453212257194,-1,0.02830305891707874,0.005007081976989847,-0.030489774619188337
NDX,2026-03-23,asset_mgr_net,-1.89191406981979,-1,-0.007695389694165944,-0.024871214620659,-0.05106577077680119
NDX,2026-03-23,basis_bp,1.579067247783023,1,-0.007695389694165944,-0.024871214620659,-0.05106577077680119
NDX,2026-03-23,lev_net,-1.7391561626742529,-1,-0.007695389694165944,-0.024871214620659,-0.05106577077680119
NDX,2026-03-23,oi_chg_w,1.5155718602688206,1,-0.007695389694165944,-0.024871214620659,-0.05106577077680119
SPX,2026-03-23,basis_bp,1.7772240928288063,1,-0.0037425745042546366,-0.015778733285215063,-0.03605527809698372
SPX,2026-03-23,lev_net,1.7153667173840175,1,-0.0037425745042546366,-0.015778733285215063,-0.03605527809698372
SPX,2026-03-23,oi_chg_w,2.0177288448448176,1,-0.0037425745042546366,-0.015778733285215063,-0.03605527809698372
NDX,2026-03-20,asset_mgr_net,-1.9900346082245852,-1,0.01215321890513077,0.011081614007621754,-0.03202678227664224
NDX,2026-03-20,basis_bp,4.034943187910662,1,0.01215321890513077,0.011081614007621754,-0.03202678227664224
NDX,2026-03-20,lev_net,-1.8211687576719617,-1,0.01215321890513077,0.011081614007621754,-0.03202678227664224
SPX,2026-03-20,basis_bp,3.914330059241927,1,0.011453200463990454,0.013128438438512857,-0.02115274053338201
SPX,2026-03-20,lev_net,1.7570419505958335,1,0.011453200463990454,0.013128438438512857,-0.02115274053338201
SPX,2026-03-20,oi_chg_w,1.9867600020316174,1,0.011453200463990454,0.013128438438512857,-0.02115274053338201
NDX,2026-03-19,asset_mgr_net,-2.0967314775303487,-1,-0.018769191709029354,-0.01448680073934816,-0.03154507296488196
NDX,2026-03-19,lev_net,-1.8865791825165559,-1,-0.018769191709029354,-0.01448680073934816,-0.03154507296488196
SPX,2026-03-19,lev_net,1.8198657969740974,1,-0.015138182356779217,-0.0075864968250031195,-0.019576215741918035
SPX,2026-03-19,oi_chg_w,1.9909368585724974,1,-0.015138182356779217,-0.0075864968250031195,-0.019576215741918035
KOSPI200,2026-03-18,asset_mgr_net,2.509544560644215,1,-0.02948557795108997,-0.09420754695747102,-0.0561238844435441
NDX,2026-03-18,asset_mgr_net,-2.2176004297011427,-1,-0.0028581490312455937,-0.009682666533180284,-0.010731152952834222
NDX,2026-03-18,lev_net,-1.9596862032625557,-1,-0.0028581490312455937,-0.009682666533180284,-0.010731152952834222
SPX,2026-03-18,lev_net,1.887811778641737,1,-0.002748797741878972,-0.0065965544136504795,-0.0049512116777690185
SPX,2026-03-18,oi_chg_w,1.9951348490471865,1,-0.002748797741878972,-0.0065965544136504795,-0.0049512116777690185
KOSPI200,2026-03-17,oi_chg_w,3.646637601405946,1,0.05670182782528044,0.02569896181426823,-0.015757114485842383
NDX,2026-03-17,asset_mgr_net,-2.3563455207467503,-1,-0.014339146763664434,-0.035603493969493805,-0.03139457303700666
NDX,2026-03-17,lev_net,-2.0416283976087426,-1,-0.014339146763664434,-0.035603493969493805,-0.03139457303700666
SPX,2026-03-17,asset_mgr_net,-1.520801663495886,-1,-0.013607567880073446,-0.03121010411680436,-0.02378165424799006
